Unique Key,Month,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
38507323,February,2/20/2018 3:11,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,BATTERY PARK,MANHATTAN,10004,40.70288007,-74.01552284,"(40.70288006660316, -74.01552284013026)"
38508194,February,2/20/2018 19:28,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,JACKIE ROBINSON PARK,MANHATTAN,10031,40.8265853,-73.9411319,"(40.82658529966099, -73.94113190263612)"
38516178,February,2/21/2018 17:12,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
38546483,February,2/25/2018 15:06,Department of Parks and Recreation,DPR Internal,Property,Park,WASHINGTON SQUARE PARK,MANHATTAN,10011,40.73088313,-73.99759338,"(40.730883132114464, -73.9975933816647)"
38572548,February,2/28/2018 22:55,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
38582923,March,3/2/2018 8:30,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,HUDSON RIVER PARK,MANHATTAN,10011,40.74980512,-74.00897956,"(40.74980512361341, -74.00897956095878)"
38625880,March,3/6/2018 9:15,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,CARL SCHURZ PARK,MANHATTAN,10028,40.77501591,-73.94371568,"(40.77501591276052, -73.94371568311053)"
38654144,March,3/9/2018 14:27,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Street/Curbside,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
38654837,March,3/9/2018 17:52,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,RIVERSIDE PARK,MANHATTAN,10025,40.80024518,-73.97335875,"(40.800245180318555, -73.97335875005403)"
38659147,March,3/10/2018 11:24,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,EAST RIVER PARK,MANHATTAN,10002,40.71381104,-73.97617445,"(40.713811040292896, -73.97617444840935)"
